,EODDATAID,ADATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
59,436471593,2019-07-01,BANKNIFTY,31271.0,31450.35,31246.45,31372.2,,,133169266,3607.35,2019-07-01,
60,436481593,2019-07-02,BANKNIFTY,31414.65,31431.35,31105.1,31283.3,,,233874612,4640.78,2019-07-02,
61,436491593,2019-07-03,BANKNIFTY,31347.7,31467.15,31238.5,31382.3,,,224146516,4953.49,2019-07-03,
62,436501593,2019-07-04,BANKNIFTY,31471.0,31608.35,31428.05,31471.85,,,242985504,5416.41,2019-07-04,
63,436511593,2019-07-05,BANKNIFTY,31523.05,31660.75,31323.25,31475.8,,,384291668,7011.16,2019-07-05,
64,436541593,2019-07-08,BANKNIFTY,31346.85,31370.4,30536.75,30603.85,,,390494875,6895.32,2019-07-08,
65,436551593,2019-07-09,BANKNIFTY,30533.4,30702.1,30346.7,30569.15,,,259250655,5474.22,2019-07-09,
66,436561593,2019-07-10,BANKNIFTY,30618.05,30728.35,30428.6,30522.1,,,184326854,4611.79,2019-07-10,
67,436571593,2019-07-11,BANKNIFTY,30707.0,30788.05,30565.35,30716.55,,,173564485,4583.76,2019-07-11,
68,436581593,2019-07-12,BANKNIFTY,30789.75,30870.95,30548.3,30601.45,,,156245254,5095.02,2019-07-12,
69,436611593,2019-07-15,BANKNIFTY,30688.85,30695.7,30334.2,30445.95,,,223023061,4915.44,2019-07-15,
70,436621593,2019-07-16,BANKNIFTY,30532.65,30635.0,30429.9,30570.8,,,369337661,6823.01,2019-07-16,
71,436631593,2019-07-17,BANKNIFTY,30622.25,30799.7,30568.3,30735.5,,,367511522,7421.74,2019-07-17,
72,436641593,2019-07-18,BANKNIFTY,30705.8,30769.35,30378.6,30430.6,,,352029779,6272.1,2019-07-18,
73,436651593,2019-07-19,BANKNIFTY,30515.1,30543.75,29705.75,29770.35,,,287392672,6710.7,2019-07-19,
74,436681593,2019-07-22,BANKNIFTY,29617.05,29635.15,29194.1,29284.95,,,350333275,7453.0,2019-07-22,
75,436691593,2019-07-23,BANKNIFTY,29342.45,29365.8,29078.15,29128.1,,,333503030,7830.82,2019-07-23,
76,436701593,2019-07-24,BANKNIFTY,29085.45,29252.4,28871.0,28952.25,,,244078618,5657.91,2019-07-24,
77,436711593,2019-07-25,BANKNIFTY,28981.05,29240.8,28931.05,29043.05,,,296560592,6680.01,2019-07-25,
78,436721593,2019-07-26,BANKNIFTY,29062.5,29379.1,28994.5,29325.3,,,383572807,6093.26,2019-07-26,
79,436751593,2019-07-29,BANKNIFTY,29583.45,29592.95,29104.85,29295.9,,,303508229,6738.65,2019-07-29,
80,436761593,2019-07-30,BANKNIFTY,29434.85,29530.3,28737.8,28791.6,,,301282413,7641.56,2019-07-30,
81,436771593,2019-07-31,BANKNIFTY,28575.45,28979.75,28529.75,28876.0,,,346506962,10237.68,2019-07-31,
82,436781593,2019-08-01,BANKNIFTY,28660.5,28819.7,28047.35,28367.25,,,282236909,7707.97,2019-08-01,
83,436791593,2019-08-02,BANKNIFTY,28224.25,28544.55,27936.35,28204.95,,,319929406,8849.25,2019-08-02,
84,436821593,2019-08-05,BANKNIFTY,27841.2,27866.55,27389.5,27648.05,,,334367503,7912.63,2019-08-05,
85,436831593,2019-08-06,BANKNIFTY,27518.5,28148.4,27503.9,28022.1,,,291001441,7032.3,2019-08-06,
86,436841593,2019-08-07,BANKNIFTY,28053.85,28175.55,27641.85,27702.05,,,353400945,7335.22,2019-08-07,
87,436851593,2019-08-08,BANKNIFTY,27840.1,28227.55,27531.05,28110.45,,,303596759,7133.44,2019-08-08,
88,436861593,2019-08-09,BANKNIFTY,28293.65,28602.75,28251.75,28431.9,,,336826632,7347.48,2019-08-09,
89,436901593,2019-08-13,BANKNIFTY,28356.8,28358.85,27683.5,27729.1,,,335809590,5984.53,,
90,436911593,2019-08-14,BANKNIFTY,27885.5,28107.05,27726.65,28019.2,,,290413445,5104.33,,
91,436971593,2019-08-20,BANKNIFTY,28163.55,28215.4,27839.65,27982.45,,,288236399,5073.04,,
92,436981593,2019-08-21,BANKNIFTY,28021.0,28098.9,27666.2,27719.05,,,358841104,5315.64,,
93,436991593,2019-08-22,BANKNIFTY,27690.05,27690.05,26975.55,27034.2,,,465070847,6452.46,,
94,437001593,2019-08-23,BANKNIFTY,26835.35,27207.3,26560.6,26958.65,,,485538647,7843.57,,
95,437031593,2019-08-26,BANKNIFTY,27663.95,27995.25,26859.35,27951.35,,,519219181,8927.81,,
96,437041593,2019-08-27,BANKNIFTY,28106.3,28277.7,27960.8,28126.15,,,386839458,7802.0,,
97,437051593,2019-08-28,BANKNIFTY,28080.25,28095.55,27634.65,27804.3,,,384111651,6674.3,,
98,437061593,2019-08-29,BANKNIFTY,27694.95,27719.05,27239.95,27305.2,,,377438481,7339.26,,
99,437071593,2019-08-30,BANKNIFTY,27407.9,27586.5,27121.95,27427.85,,,427077225,8056.5,,
100,437111593,2019-09-03,BANKNIFTY,27239.2,27247.05,26742.6,26824.15,,,392427883,6171.33,,
101,437121593,2019-09-04,BANKNIFTY,26785.95,27278.7,26641.35,27123.85,,,309520214,5990.87,,
102,437131593,2019-09-05,BANKNIFTY,27086.95,27243.95,26815.4,26919.7,,,327083693,5826.31,2019-09-05,
103,437141593,2019-09-06,BANKNIFTY,26986.5,27311.05,26950.55,27247.9,,,251986487,4874.57,2019-09-06,
104,437171593,2019-09-09,BANKNIFTY,27240.35,27565.55,26993.9,27504.65,,,286110458,5197.2,2019-09-09,
105,437191593,2019-09-11,BANKNIFTY,27639.05,27829.65,27551.65,27776.2,,,467414755,6677.77,2019-09-11,
106,437201593,2019-09-12,BANKNIFTY,27870.8,28062.3,27764.7,27818.5,,,377820739,6469.22,2019-09-12,
